Carimbo de data/hora,Qual o seu nome completo?,Eu gostei muito de fazer a atividade.,Eu me esforcei/dediquei bastante para realizar a atividade.,Essa foi uma atividade que não consegui fazer muito bem.,Realizar esta atividade é útil para apreender vulnerabilidades de software e padrões de segurança para sistemas web.,Eu estava ansioso enquanto trabalhava na atividade.,Eu descreveria a atividade como muito interessante.,Acho que me saí muito bem na atividade em comparação a outros alunos.,Acho que essa é uma atividade importante.,Não me esforcei muito em ir bem na atividade.,A atividade não prendeu/manteve minha atenção de forma alguma.,Eu fui bastante competente na atividade.,Acredito que ter feito essa atividade foi benefica para mim.,Eu me sinto muito tenso ao fazer a atividade.,Achei a atividade bastante agradável.,Ter realizado essa atividade me ajudou a aprender sobre vulnerabilidades de software e padrões de segurança para sistemas web.,Estou satisfeito com o meu desempenho na atividade.,"Estaria disposto a realizar a atividade novamente, pois ela tem valor/utilidade para mim.",Eu estava muito tranquilo ao fazer a atividade.,A atividade foi divertida de fazer.,Eu acredito que a atividade poderá ter algum valor/utilidade para mim.,Era importante para mim me sair bem na atividade.,Depois de trabalhar na atividade por algum tempo me senti bastante competente.,Enquanto fazia a atividade pensava no quanto gostei dela.,Não me senti nem um pouco nervoso enquanto fazia a atividade.,"Acho que a atividade é importante, pois ela pode auxiliar no ensino e aprendizagem de vulnerabilidades de software e padrões de segurança para sistemas web.",Eu não coloquei muita energia/dedicação na realização da atividade.,Me sinti pressionado enquanto realizava a atividade.,Acho que sou muito bom nessa atividade.,Me empenhei muito na atividade.,Achei a atividade chata.
2025-02-25 17:29:32.638,P31,6,6,2,7,4,6,6,6,2,2,6,6,4,5,6,6,6,6,6,6,5,6,6,4,6,2,5,6,6,1
2025-02-25 17:33:11.599,P4,7,7,6,7,3,6,6,7,7,5,6,7,2,6,6,7,5,6,6,6,6,7,6,3,6,2,2,7,6,1
2025-02-25 17:34:19.984,P8,7,7,3,7,1,7,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,7,7,1,7,1,1,7,7,1
2025-02-25 17:35:41.922,P23,5,7,5,3,1,6,5,5,1,1,7,6,1,6,4,6,3,7,7,6,7,4,3,6,5,1,1,5,7,1
2025-02-25 17:35:48.186,P29,6,6,1,6,1,5,5,7,4,2,7,5,1,7,7,7,5,7,7,4,1,5,3,1,3,5,1,5,1,1
2025-02-25 17:37:43.093,P32,6,7,1,3,1,4,5,4,1,1,7,4,1,4,3,6,3,7,5,4,6,6,4,7,4,1,1,7,7,4
2025-02-25 17:38:45.879,P18,7,7,1,6,5,7,6,7,7,1,7,7,2,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,1
2025-02-25 17:40:14.777,P3,7,5,3,4,3,6,2,4,5,1,3,5,2,6,5,5,6,6,7,5,3,6,4,6,5,3,1,2,5,1
2025-02-25 17:40:15.507,P11,7,5,1,6,4,7,7,7,1,1,7,7,5,7,7,7,7,5,7,7,7,7,7,1,7,1,1,7,7,1
2025-02-25 17:40:28.149,P5,7,7,2,7,3,7,5,7,1,1,5,7,2,7,7,6,7,5,7,6,6,6,7,6,7,2,2,4,6,1
2025-02-25 17:42:16.731,P33,7,6,2,5,5,7,5,6,1,1,5,6,3,7,6,7,7,6,7,6,6,6,5,4,6,1,2,5,6,1
2025-02-25 17:44:08.031,P7,6,6,3,6,2,6,6,6,6,1,5,6,1,6,6,6,6,5,6,6,5,6,5,6,6,1,1,5,6,1
2025-02-25 17:44:15.039,P13,5,5,3,4,2,5,5,4,2,2,5,4,3,5,3,5,3,5,4,3,3,3,3,6,5,5,2,3,2,2
2025-02-25 17:46:12.361,P16,7,7,1,7,4,7,6,7,1,1,7,7,4,7,7,7,7,5,7,7,5,7,7,4,6,2,5,6,7,1
2025-02-25 17:46:12.529,P40,7,7,2,7,7,7,7,7,1,1,7,7,4,7,7,7,7,6,7,7,7,7,7,1,7,1,2,7,7,1
2025-02-25 17:50:56.545,P41,7,7,2,7,1,7,4,7,1,1,7,7,1,7,5,7,7,7,7,7,5,7,7,7,7,1,1,7,7,1
