Name,Program,Individual academic performance index (IRA),IRA band,Group
P20,Systems Analysis and Development,8.14,Low,Control
P2,Information Security,8.5433,High,Control
P30,Information Security,8.772,High,Control
P1,Systems Analysis and Development,9.2067,High,Control
P14,Systems Analysis and Development,8.2627,Low,Control
P27,Systems Analysis and Development,8.86,High,Control
P34,Information Security,8.5733,High,Control
P17,Systems Analysis and Development,7.2179,Low,Control
P38,Information Security,7.7,Low,Control
P36,Systems Analysis and Development,9.4633,High,Control
P26,Systems Analysis and Development,9.2233,High,Control
P19,Systems Analysis and Development,8.0821,Low,Control
P12,Information Security,8.66,High,Control
P9,Information Security,8.0433,Low,Control
P6,Systems Analysis and Development,8.2267,Low,Control
P39,Systems Analysis and Development,7.44,Low,Control
P11,Systems Analysis and Development,7.7467,Low,Experimental
P18,Information Security,8.5767,High,Experimental
P3,Systems Analysis and Development,9.3787,High,Experimental
P8,Information Security,8.2667,High,Experimental
P31,Systems Analysis and Development,8.6633,High,Experimental
P7,Information Security,8.3567,High,Experimental
P5,Systems Analysis and Development,7.3467,Low,Experimental
P13,Information Security,7.4241,Low,Experimental
P29,Information Security,8.3,High,Experimental
P16,Information Security,7.2827,Low,Experimental
P4,Systems Analysis and Development,7.108,Low,Experimental
P41,Information Security,8.2867,High,Experimental
P33,Systems Analysis and Development,7.8614,Low,Experimental
P40,Information Security,6.7622,Low,Experimental
P32,Systems Analysis and Development,7.6987,Low,Experimental
P23,Systems Analysis and Development,8.4547,High,Experimental
